

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 1/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.7ms
video 1/1 (frame 2/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 3/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 4/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 5/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 6/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 7/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 8/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 9/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 10/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 11/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 12/1203) /home/lenovo/data/liujiaji/Oildata/DJI_20240926153243_0001_S.MP4: 480x800 (no detections), 7.3ms
