

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 42/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 43/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 44/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 45/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 46/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 47/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 48/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 49/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 50/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 51/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 52/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 53/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 54/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 55/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 56/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 57/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 58/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 59/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 60/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 61/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 62/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 63/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 64/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 65/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 66/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 67/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 68/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 69/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 70/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 71/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 72/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 73/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 74/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 75/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 76/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 77/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 78/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 79/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 80/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 81/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 82/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 83/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 84/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 85/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 86/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 87/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 88/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 89/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 90/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 91/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 92/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 93/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 94/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 95/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 96/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 1 normal, 7.3ms
