

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 1/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.7ms
video 1/1 (frame 2/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 3/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 4/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 5/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 6/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 7/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 8/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 9/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 10/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 11/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 12/3540) /home/lenovo/data/liujiaji/Oildata/DJI_20240927095133_0001_S.MP4: 480x800 (no detections), 7.3ms
